Product_Name,                        Pricing,     Ratings
 Apple iPhone SE (Black| 64 GB),     Rs.42,500,    4.6(2,064)
Apple iPhone 7 (Black| 32 GB),     Rs.29,499,    4.6(2,064)
Apple iPhone SE (White| 64 GB),     Rs.42,500,    4.6(2,064)
Apple iPhone 7 Plus (Black| 32 GB),     Rs.36,999,    4.6(2,064)
